formula,Property Band Gap,Property Band Gap units,Property Band gap,Property Band gap units,Temperature (Property Band gap),Temperature (Property Band gap) units,Property Color,Temperature (Property Color),Temperature (Property Color) units
SnSe$_{2}$,,,1.03,eV,290,K,,,
YbAs,,,1.02,eV,300,K,,,
ZnS,,,3.68,eV,300,K,,,
K$_{3}$Sb,,,1,eV,300,K,,,
EuO,,,1.1,eV,300,K,,,
As$_{2}$S$_{3}$,,,2.062,eV,300,K,,,
Te,,,0.336,eV,77,K,,,
Bi$_{2}$S$_{3}$,,,1.3,eV,293,K,,,
Na$_{2}$S,,,2.4,eV,300,K,,,
As$_{2}$S$_{3}$,,,2.48,eV,300,K,,,
Sb,,,0.1,eV,300,K,Gray,300,K
Hg$_{2}$Cl$_{2}$,,,3.8,eV,10,K,,,
As$_{2}$Se$_{3}$,,,1.81,eV,,,,,
Bi$_{2}$Te$_{3}$,,,0.15,eV,300,K,,,
Cu$_{2}$Se,,,1.29,eV,300,K,,,
Dy$_{2}$O$_{3}$,,,3.08,eV,593,K,,,
TiSe$_{2}$,,,0.69,eV,300,K,,,
TlN$_{3}$,,,3.58,eV,77,K,,,
Mg$_{2}$Ge,,,1.737,eV,195,K,,,
ThO$_{2}$,,,3.5,eV,300,K,White,300,K
Er$_{2}$Te$_{3}$,,,0.9,eV,300,K,,,
SnS$_{2}$,,,2.21,eV,300,K,Yellow,300,K
BeSe,,,3.61,eV,,,,,
PbSe,,,0.275,eV,300,K,,,
As$_{2}$S$_{3}$,,,2.36,eV,300,K,,,
GeTe,,,0.33,eV,,,,,
GeSn,,,0.8,eV,300,K,,,
Mg$_{2}$Si,,,0.78,eV,,,,,
MoS$_{2}$,,,1.83,eV,290,K,,,
SbI$_{3}$,,,2.49,eV,,,Orange,,
Mg$_{2}$Si,,,2.27,eV,300,K,,,
ZnSe,,,2.81,eV,23,K,Yellow,23,K
I,,,1.6,eV,100,K,,,
Rb$_{2}$Te,,,4.5,eV,300,K,,,
In$_{2}$Te$_{3}$,,,1.11,eV,300,K,,,
Ga$_{2}$S$_{3}$,,,3.59,eV,,,,,
HgO,,,1.02,eV,373,K,Yellow,373,K
GeO$_{2}$,,,5.63,eV,300,K,,,
PbSe,,,0.165,eV,77,K,,,
PdSe$_{2}$,,,0.4,eV,300,K,,,
GeS$_{2}$,,,3.71,eV,77,K,Amber,77,K
Bi$_{0.9}$Sb$_{0.1}$,,,0.024,eV,300,K,,,
NbO$_{2}$,,,0.25,eV,300,K,,,
RuAs$_{2}$,,,0.8,eV,300,K,,,
SmS,,,0.22,eV,300,K,,,
CdSc,,,1.714,eV,293,K,,,
AlN,,,5.9,eV,300,K,,,
CsI,,,6.4,eV,80,K,,,
PbBr$_{2}$,,,3.31,eV,300,K,,,
PbSe,,,0.176,eV,77,K,,,
InSe,,,1.293,eV,293,K,,,
NaI,,,5.89,eV,77,K,,,
CaB$_{6}$,,,4.4,eV,,,,,
Ga$_{2}$Te$_{3}$,,,1.13,eV,300,K,,,
SrO,,,1.16,eV,873,K,,,
KCl,,,8.69,eV,77,K,,,
CdS,,,2.582,eV,4.2,K,,,
AgCl,,,3.252,eV,4.2,K,,,
AlAs,,,2.25,eV,,,,,
GeTe,,,0.77,eV,77,K,,,
SnO$_{2}$,,,3.9,eV,300,K,,,
CdF$_{2}$,,,6,eV,300,K,,,
KBr,,,7.13,eV,300,K,,,
GeAs,,,1.45$\pm$0.45,eV,300,K,,,
GaP,,,2.235,eV,,,,,
ZnP$_{2}$,,,1.65,eV,293,K,,,
GaP,,,2.223,eV,300,K,,,
CuCl,,,3.306,eV,80,K,,,
Mg$_{2}$Sn,,,0.185,eV,,,,,
Mg$_{2}$Ge,,,0.57,eV,4.2,K,,,
Cu$_{2}$O,,,2.02,eV,300,K,,,
Al$_{2}$Te$_{3}$,,,2.2,eV,800,K,Yellow,800,K
CrTe,,,0.02,eV,300,K,,,
Si$_{2}$Te$_{3}$,,,2,eV,300,K,Red,300,K
B,,,1.27,eV,300,K,,,
SbSi,,,1.9,eV,300,K,,,
AsBr$_{3}$,,,2.6,eV,300,K,Orange-Red,300,K
FeSc$_{2}$,,,0.77$\pm$0.17,eV,300,K,,,
FeSi$_{2}$,,,0.88,eV,,,,,
CdP$_{2}$,,,1.55,eV,293,K,,,
Al$_{2}$Te$_{3}$,,,2.5,eV,300,K,Yellow,300,K
RbBr,,,7.7,eV,80,K,,,
MnTe$_{2}$,,,0.48,eV,300,K,,,
Mg$_{2}$Ge,,,1.804,eV,10,K,,,
Cu$_{2}$Se,,,1.23,eV,300,K,,,
RbBr,,,7.2,eV,80,K,,,
Cs$_{3}$Sb,,,1.6,eV,300,K,,,
CdP$_{4}$,,,1,eV,300,K,,,
Al$_{2}$O$_{3}$,,,7,eV,300,K,,,
PbO$_{2}$,,,1.5,eV,300,K,,,
In$_{2}$S$_{3}$,,,2.28,eV,,,,,
Cr$_{2}$O$_{3}$,,,1.62,eV,300,K,,,
GdB$_{6}$,,,3.6,eV,300,K,,,
TbF$_{3}$,,,,,,,,,
C,,,7.02,eV,295,K,,,
Mg$_{2}$Si,,,2.27,eV,300,K,,,
SnO$_{2}$,,,2.55,eV,300,K,,,
In$_{2}$Te$_{3}$,,,1.026,eV,300,K,,,
Ce$_{2}$Se$_{3}$,,,0.09375,eV,293,K,,,
Sb$_{2}$Se$_{3}$,,,1.4,eV,,,,,
AgCl,,,5.13,eV,300,K,,,
SiSe$_{2}$,,,1.72,eV,300,K,,,
TiO$_{2}$,,,3.3,eV,296,K,,,
Mg$_{2}$Sn,,,0.23,eV,,,,,
In$_{2}$O$_{3}$,,,3.55,eV,300,K,,,
ZrSe$_{2}$,,,2,eV,300,K,,,
Ti$_{2}$O$_{3}$,,,0.02,eV,4.2,K,,,
RuP$_{2}$,,,1,eV,300,K,,,
HgI$_{2}$,,,2.47,eV,,,Orange,,
RhSe$_{2}$,,,0.6,eV,,,,,
SrTe,,,3.73,eV,113,K,,,
As$_{2}$S$_{3}$,,,2.64,eV,90,K,,,
SrS,,,4.8,eV,70,K,,,
Ag$_{2}$Se,,,0.05,eV,,,,,
CdBr$_{2}$,,,4.47,eV,300,K,,,
As$_{2}$S$_{6}$,,,2.35,eV,77,K,,,
P,,,0.35,eV,300,K,,,
BaO,,,4.8,eV,300,K,,,
UO$_{2}$,,,2.18,eV,300,K,,,
EuS,,,1.645,eV,300,K,,,
K$_{3}$Sb,,,1.1,eV,300,K,,,
HgS,,,0.54,eV,300,K,,,
ZrS$_{2}$,,,1.68,eV,300,K,Violet,300,K
Na$_{3}$Sb,,,1,eV,300,K,,,
Si,,,1.166,eV,4.2,K,,,
Zn$_{3}$P$_{2}$,,,1.15,eV,300,K,,,
Rh$_{2}$S$_{3}$,,,0.8,eV,300,K,,,
AgN$_{3}$,,,3.9,eV,300,K,,,
PrTe$_{2}$,,,1.02,eV,300,K,,,
MgSe,,,5.63,eV,90,K,,,
ZnTe,,,2.37,eV,,,Red,,
MoO$_{3}$,,,2.8,eV,300,K,,,
Cs$_{3}$As,,,0.6,eV,300,K,,,
InSb,,,0.236,eV,4.2,K,,,
PbO,,,2.88,eV,4.2,K,Yellow,4.2,K
PbO,,,2.73,eV,300,K,,,
MnSe,,,1.8,eV,300,K,Brown-Black,300,K
Bi$_{2}$Se$_{3}$,,,0.35,eV,293,K,,,
V$_{2}$O$_{5}$,,,1.95,eV,273,K,,,
SnS,,,1.08,eV,300,K,,,
GaAs,,,1.46,eV,4.2,K,,,
InP,,,1.413,eV,77,K,,,
Al$_{2}$O$_{3}$,,,8.56,eV,,,,,
GeO$_{2}$,,,5.54,eV,300,K,Gray,300,K
CdCl$_{2}$,,,5.8,eV,,,,,
As$_{2}$Se$_{3}$,,,1.63,eV,297,K,,,
Hg$_{2}$Br$_{2}$,,,2.6,eV,300,K,,,
Cd$_{3}$P$_{2}$,,,0.586,eV,77,K,Gray,77,K
SnI$_{4}$,,,2.38,eV,300,K,,,
ZnO,,,3.418,eV,77,K,,,
Se,,,1.56,eV,300,K,,,
BaO,,,3.8,eV,300,K,,,
Ag$_{2}$S,,,1,eV,300,K,,,
CdI$_{2}$,,,4.228,eV,80,K,,,
ZnS,,,3.82,eV,,,,,
FeSi$_{2}$,,,0.9,eV,,,,,
ZnAs$_{2}$,,,0.93,eV,297,K,,,
Bi$_{0.85}$Sb$_{0.15}$,,,0.008,eV,80,K,,,
Sn,,,0.092,eV,,,Gray,,
HfO$_{2}$,,,5.55,eV,300,K,,,
ZnSb,,,0.606,eV,4.2,K,,,
Cs$_{3}$Sb,,,1.6,eV,300,K,,,
Bi$_{2}$O$_{3}$,,,2.15,eV,300,K,,,
ZnAs$_{2}$,,,1.3,eV,,,,,
Ce$_{2}$Se$_{3}$,,,2,eV,300,K,,,
BiI$_{3}$,,,1.93,eV,300,K,,,
Gd$_{2}$O$_{3}$,,,2.9,eV,933,K,,,
Zr$_{3}$O,,,0.2,eV,300,K,,,
GeSe$_{2}$,,,2.485,eV,300,K,Yellow-Orange,300,K
GaAs,,,1.435,eV,294,K,,,
Cu$_{2}$Te,,,1.08,eV,300,K,,,
Si,,,1.16,eV,77,K,,,
Ti$_{2}$O$_{3}$,,,0.05,eV,180,K,,,
