formula,Property Band Gap,Property Band Gap units,Property Band gap,Property Band gap units,Temperature (Property Band gap),Temperature (Property Band gap) units,Property Color,Temperature (Property Color),Temperature (Property Color) units
CaB$_{6}$,,,3.3,eV,300,K,,,
GeS$_{2}$,,,3.54,eV,300,K,Amber,300,K
In$_{2}$Se$_{3}$,,,1.2,eV,300,K,Black,300,K
Al$_{2}$O$_{3}$,,,7.3,eV,300,K,,,
GeI$_{2}$,,,1.5,eV,300,K,,,
TbO$_{2}$,,,0.5,eV,300,K,,,
PdS$_{2}$,,,0.75,eV,300,K,,,
HfSe$_{2}$,,,1.13,eV,300,K,Dark Red,300,K
BeO,,,11.2,eV,300,K,,,
V$_{2}$O$_{5}$,,,2.36,eV,300,K,,,
Se,,,2.85,eV,,,,,
FeSe$_{2}$,,,0.5,eV,300,K,,,
PtSb$_{2}$,,,0.11,eV,10,K,,,
YbS,,,0.176,eV,500,K,,,
BaF$_{2}$,,,9.06,eV,300,K,,,
GaSb,,,0.725,eV,300,K,,,
Sm$_{2}$Se$_{3}$,,,2.3,eV,300,K,,,
Y$_{2}$O$_{3}$,,,5.6,eV,300,K,Blue,300,K
SmSb,,,0.59,eV,300,K,,,
WO$_{3}$,,,2.9,eV,300,K,,,
WSe$_{2}$,,,1.35,eV,295,K,,,
CBr$_{4}$,,,3.7,eV,300,K,,,
GaAs,,,1.51,eV,77,K,,,
PtP$_{2}$,,,0.8,eV,300,K,,,
BP,,,5.9,eV,,,,,
SrSe,,,4.45,eV,70,K,White,70,K
CdS,,,2.425,eV,300,K,,,
CdSe,,,1.815,eV,77,K,,,
GaS,,,2.591,eV,77,K,,,
Mg$_{3}$Bi$_{2}$,,,0.1,eV,300,K,,,
Bi$_{2}$Te$_{3}$,,,0.16,eV,,,,,
GaTe,,,1.52,eV,,,,,
Bi$_{2}$O$_{3}$,,,2.85,eV,300,K,,,
Gd$_{2}$O$_{3}$,,,1.36,eV,873,K,,,
CdS,,,2.573,eV,77,K,,,
Nb$_{2}$O$_{5}$,,,1.65,eV,573,K,,,
Mg$_{2}$Ge,,,0.54,eV,195,K,,,
PbTe,,,0.19,eV,4.2,K,,,
Mg$_{2}$Sn,,,0.18,eV,296,K,,,
GaP,,,2.78,eV,290,K,,,
ThO$_{2}$,,,3.2,eV,,,,,
GeO$_{2}$,,,6,eV,300,K,,,
C,,,5.47,eV,295,K,,,
TiO$_{2}$,,,2.9,eV,300,K,,,
CdO,,,2.35,eV,295,K,,,
Ga$_{2}$Te$_{3}$,,,1.45,eV,933,K,,,
PbO$_{2}$,,,2,eV,300,K,,,
AlBi,,,0.4,eV,300,K,,,
C,,,6,eV,,,,,
Se,,,1.8,eV,77,K,,,
SnS$_{2}$,,,2.07,eV,300,K,Yellow,300,K
BP,,,2,eV,300,K,,,
CoO,,,0.47,eV,250,K,,,
EuTe,,,1.959,eV,300,K,,,
BaS,,,3.9,eV,77,K,,,
BeO,,,14.5,eV,300,K,,,
AlSb,,,2.218,eV,300,K,Dark Gray,300,K
VO$_{2}$,,,0.4,eV,300,K,,,
SnTe,,,0.36,eV,,,,,
HgI$_{2}$,,,2.11,eV,300,K,Red,300,K
CdP$_{2}$,,,1.92,eV,293,K,,,
Mg$_{2}$Si,,,2.17,eV,77,K,,,
BAs,,,1.46,eV,300,K,Dark Brown,300,K
ZnP$_{2}$,,,2.18,eV,293,K,,,
Ge$_{0.891}$Si$_{0.109}$,,,1.126,eV,300,K,,,
C,,,5.41,eV,100,K,,,
As,,,1.2,eV,300,K,Gray,300,K
In$_{2}$Te$_{3}$,,,0.84,eV,300,K,,,
HgTe,,,0.283,eV,30,K,,,
ZnSb,,,0.61,eV,4.2,K,,,
TlI,,,2.67,eV,300,K,,,
MgTe,,,4.7,eV,300,K,,,
ZnAs$_{2}$,,,0.9,eV,297,K,,,
CuP$_{2}$,,,1.4,eV,300,K,,,
TiS$_{3}$,,,0.9,eV,300,K,,,
GaTe,,,1.74,eV,77,K,,,
BaO,,,5.13,eV,300,K,,,
As$_{2}$Se$_{3}$,,,1.8,eV,,,,,
ZnSb,,,0.48,eV,300,K,,,
In$_{2}$Te$_{3}$,,,1,eV,300,K,Black,300,K
Zr$_{6}$O,,,0.18,eV,300,K,,,
KCl,,,7.68,eV,300,K,,,
Bi$_{2}$Te$_{3}$,,,0.13,eV,300,K,,,
HgS,,,2.095,eV,283,K,Red,283,K
In$_{4}$S$_{5}$,,,0.9,eV,300,K,,,
Al$_{2}$Te$_{3}$,,,2.5,eV,300,K,,,
HgI$_{2}$,,,2.095,eV,280,K,Red,280,K
KI,,,6.31,eV,10,K,,,
CdP$_{2}$,,,2.15,eV,77,K,Dark Red,77,K
TlSe,,,0.96,eV,77,K,,,
Bi$_{2}$O$_{3}$,,,3.1,eV,77,K,,,
WSe$_{2}$,,,1.45,eV,77,K,,,
GeTe,,,0.8,eV,300,K,,,
LiF,,,12.1,eV,77,K,,,
As$_{2}$S$_{3}$,,,2.56,eV,300,K,,,
PtO$_{2}$,,,0.2,eV,300,K,,,
MoS$_{2}$,,,1,eV,300,K,,,
Ag$_{2}$Te,,,0.064,eV,,,,,
TlSe,,,0.57,eV,,,,,
AlN,,,5.74,eV,300,K,White,300,K
SiO$_{2}$,,,10.4,eV,300,K,,,
MoO$_{3}$,,,3.54,eV,300,K,,,
KBr,,,7.6,eV,300,K,,,
BiI$_{3}$,,,1.81,eV,295,K,,,
Bi$_{2}$S$_{3}$,,,1.2,eV,300,K,,,
PrB$_{6}$,,,4.9,eV,300,K,,,
GdN,,,1.54,eV,300,K,,,
AlP,,,2.42,eV,293,K,,,
Tl$_{2}$Te$_{3}$,,,0.7,eV,303,K,,,
SnS$_{2}$,,,2.88,eV,300,K,Yellow,300,K
Ti$_{2}$O$_{3}$,,,0.04$\pm$0.02,eV,4.2,K,,,
Dy$_{2}$O$_{3}$,,,1.39,eV,,,,,
EuO,,,1.115,eV,300,K,,,
AlAs,,,2.16,eV,300,K,,,
PbO,,,1.936,eV,300,K,Red,300,K
Tl$_{2}$O$_{3}$,,,1.4,eV,300,K,,,
TiO$_{2}$,,,3,eV,296,K,,,
KI,,,6.08,eV,80,K,,,
Rb$_{3}$Sb,,,1,eV,300,K,,,
NaBr,,,7.26,eV,55,K,,,
InSe,,,1.187,eV,293,K,,,
Na$_{3}$Sb,,,1.1,eV,300,K,,,
AsI$_{3}$,,,2.29,eV,300,K,,,
InAs,,,0.356,eV,298,K,Dark Gray,298,K
MnI$_{2}$,,,4.04,eV,77,K,,,
GaS,,,2.5,eV,295,K,,,
Zn$_{3}$Sb$_{2}$,,,0.2,eV,300,K,,,
GeSe$_{2}$,,,2.38,eV,300,K,,,
V$_{2}$O$_{4}$,,,0.66,eV,300,K,,,
Y$_{2}$O$_{3}$,,,1.46,eV,873,K,,,
GaAs,,,1.507,eV,77,K,,,
RbBr,,,7.25,eV,55,K,,,
KCl,,,8.9,eV,10,K,,,
GeSe,,,1.53,eV,300,K,,,
GaN,,,3.8,eV,300,K,,,
MgSe,,,5.6,eV,300,K,,,
CdP$_{2}$,,,1.93,eV,300,K,,,
HfSe$_{2}$,,,2.2,eV,300,K,,,
ZnSb,,,0.603,eV,4.2,K,,,
CeO$_{2}$,,,5.5,eV,300,K,,,
ZnSb,,,0.53,eV,297,K,,,
AlSb,,,1.6,eV,,,Dark Gray,,
MgO,,,7.4,eV,300,K,,,
Cu$_{2}$Te,,,1.02,eV,300,K,,,
MgF$_{2}$,,,11.8,eV,300,K,,,
Mg$_{2}$Ge,,,0.532,eV,300,K,,,
GaS,,,2.62,eV,77,K,,,
PbTe,,,0.21,eV,77,K,White,77,K
HgS,,,2.183,eV,20.4,K,,,
Ho$_{2}$O$_{3}$,,,2.84,eV,573,K,,,
Ga$_{2}$Te$_{3}$,,,1.32,eV,300,K,,,
C,,,5.542,eV,90,K,,,
WO$_{3}$,,,2.8,eV,300,K,,,
Mg$_{2}$Pb,,,0.041,eV,77,K,,,
Mg$_{2}$Ge,,,1.64,eV,300,K,,,
NiO,,,4,eV,300,K,,,
Sb$_{2}$O$_{3}$,,,3.2,eV,300,K,,,
NiO,,,3.7,eV,700,K,,,
SeTe,,,0.561,eV,300,K,,,
Bi$_{2}$Se$_{3}$,,,0.35,eV,300,K,,,
BSb,,,2.6,eV,300,K,,,
InSb,,,0.175,eV,300,K,,,
Ge,,,0.88,eV,89,K,,,
ZnSe,,,2.795,eV,300,K,,,
SnO$_{2}$,,,3.69,eV,300,K,,,
Ge,,,0.665,eV,291,K,,,
PdSe,,,0.2,eV,300,K,,,
SiAs,,,1.48,eV,300,K,,,
KF,,,10.9,eV,300,K,,,
ThO$_{2}$,,,5.75,eV,300,K,,,
Ga$_{2}$O$_{3}$,,,4.4,eV,300,K,White,300,K
TeO$_{2}$,,,3,eV,300,K,,,
PbO,,,2.6,eV,300,K,,,
AgBr,,,2.683,eV,4.2,K,,,
GeS,,,1.69,eV,77,K,,,
HfS$_{3}$,,,2.8,eV,300,K,Ocher,300,K
HgTe,,,0.19,eV,300,K,,,
Na$_{3}$Sb,,,1.1,eV,300,K,,,
CuN$_{3}$,,,4.96,eV,300,K,Yellow,300,K
CdI$_{2}$,,,3.857,eV,300,K,,,
As$_{2}$S$_{5}$,,,2.48,eV,298,K,,,
MoTe$_{2}$,,,0.83,eV,302,K,,,
AsTe,,,0.74,eV,293,K,,,
RbI,,,6.26,eV,10,K,,,
GaS,,,2.53,eV,300,K,,,
PbO$_{2}$,,,1.7,eV,300,K,,,
InP,,,1.351,eV,298,K,,,
AlN,,,5.9,eV,300,K,White,300,K
SnS,,,1.3,eV,300,K,,,
LiI,,,5.9,eV,80,K,,,
BAs,,,1.6,eV,,,,,
B,,,1.38,eV,300,K,,,
ZnTe,,,2.176,eV,300,K,,,
PrAs,,,1,eV,300,K,,,
PbO,,,2.66,eV,300,K,Yellow,300,K
TlSe,,,0.7,eV,300,K,,,
P,,,1.6,eV,300,K,Red,300,K
ZnTe,,,2.25,eV,300,K,Red,300,K
MoTe$_{2}$,,,1.08,eV,77,K,,,
PbSe,,,0.26,eV,300,K,,,
B,,,0.93,eV,300,K,,,
CsI,,,6.3,eV,80,K,,,
BP,,,4.5,eV,300,K,,,
CaO,,,7.7,eV,300,K,,,
Tl$_{2}$Te$_{3}$,,,0.48,eV,77,K,,,
MnO,,,1.84,eV,300,K,,,
NaBr,,,7.7,eV,80,K,,,
PbN$_{6}$,,,2.98,eV,295,K,,,
NiS,,,0.01,eV,77,K,,,
Ge,,,0.889,eV,77,K,,,
Bi$_{2}$O$_{3}$,,,2.6,eV,300,K,,,
ReSe$_{2}$,,,0.99,eV,250,K,,,
GaAs,,,1.43,eV,295,K,,,
Er$_{2}$O$_{3}$,,,1.4,eV,,,,,
Bi$_{2}$S$_{3}$,,,1.4,eV,77,K,,,
Nd$_{2}$S$_{3}$,,,3,eV,300,K,,,
SiTe$_{2}$,,,1.85,eV,300,K,,,
EuO,,,4.3,eV,300,K,,,
Fe$_{2}$O$_{3}$,,,2.34,eV,300,K,,,
CoF$_{2}$,,,,,,,,,
GaTe,,,1.67,eV,300,K,,,
Tb$_{4}$O$_{7}$,,,0.4,eV,873,K,,,
BeO,,,11.6,eV,300,K,White,300,K
InSb,,,0.17,eV,300,K,,,
MgF$_{2}$,,,10.8,eV,300,K,,,
Tl$_{2}$Te,,,0.5,eV,300,K,,,
RbCl,,,8.2,eV,80,K,,,
BiSb,,,0.023,eV,4.2,K,,,
Bi$_{2}$Se$_{3}$,,,0.21,eV,300,K,,,
OsTe$_{2}$,,,0.3,eV,300,K,,,
As$_{2}$S$_{3}$,,,1.89,eV,300,K,,,
GaSe,,,2.01,eV,300,K,,,
SmB$_{6}$,,,4.9,eV,300,K,,,
As$_{2}$S$_{5}$,,,2.01,eV,300,K,,,
PtSb$_{2}$,,,0.112,eV,,,,,
ZnP$_{2}$,,,2.03,eV,300,K,Red,300,K
SiAs,,,2.2,eV,300,K,,,
Sc$_{2}$O$_{3}$,,,1.7,eV,873,K,,,
Na$_{3}$Sb,,,2.2,eV,300,K,,,
BeTe,,,2.89,eV,,,,,
CdS,,,2.41,eV,300,K,,,
PbO,,,2,eV,300,K,,,
Sn,,,0.08,eV,300,K,Gray,300,K
GaSb,,,0.812,eV,1.7,K,Light Gray,1.7,K
HgTe,,,0.266,eV,77,K,,,
PbSe,,,0.31,eV,373,K,,,
YbS,,,0.33,eV,300,K,,,
SiO$_{2}$,,,11,eV,300,K,,,
PbTe,,,0.32,eV,300,K,,,
As$_{2}$Te$_{3}$,,,0.48,eV,300,K,,,
Bi$_{0.88}$Sb$_{0.12}$,,,0.014,eV,300,K,,,
GaSe,,,2.1,eV,300,K,,,
PbI$_{2}$,,,2.32,eV,300,K,,,
PtS,,,0.8,eV,300,K,,,
Cr$_{2}$O$_{3}$,,,1.59,eV,300,K,,,
Sb$_{2}$Se$_{3}$,,,1.1,eV,293,K,,,
GaN,,,3.24,eV,300,K,,,
EuN,,,1.47,eV,300,K,,,
MnS,,,6,eV,300,K,,,
LaF$_{3}$,,,6.6,eV,300,K,,,
SiSe$_{2}$,,,1.74,eV,300,K,,,
Hg$_{2}$Cl$_{2}$,,,3.5,eV,300,K,,,
HgI$_{2}$,,,2.35,eV,300,K,Orange,300,K
CdSb,,,0.45,eV,300,K,,,
Te,,,0.32,eV,295,K,,,
Mg$_{3}$Bi$_{2}$,,,0.1,eV,300,K,,,
PbS,,,0.307,eV,77,K,,,
As$_{2}$S$_{3}$,,,2.23,eV,300,K,,,
Cd$_{3}$As$_{2}$,,,0.13,eV,300,K,,,
SnI$_{2}$,,,2.4,eV,300,K,,,
FeP$_{2}$,,,0.4,eV,300,K,,,
Ge$_{0.9355}$Si$_{0.0645}$,,,1.042,eV,300,K,,,
Al$_{2}$O$_{3}$,,,9.5,eV,300,K,,,
ZrS$_{2}$,,,0.85,eV,300,K,,,
CdP$_{2}$,,,2.02,eV,293,K,Dark Red,293,K
KBr,,,8,eV,10,K,,,
Ge$_{0.542}$Si$_{0.458}$,,,2.238,eV,300,K,,,
CI$_{4}$,,,2.26,eV,300,K,,,
ZnO,,,3.26,eV,77,K,,,
InN,,,2.4,eV,300,K,Black,300,K
NaCl,,,8.6,eV,80,K,,,
AgCl,,,5.1,eV,,,,,
CdTe,,,1.517,eV,300,K,,,
AlAs,,,2.1,eV,300,K,,,
KF,,,10.3,eV,293,K,,,
SeTe,,,0.64,eV,300,K,,,
PbS,,,0.286,eV,4.2,K,,,
AgCl,,,3.25,eV,300,K,,,
Zn$_{3}$As$_{2}$,,,0.51,eV,300,K,,,
Cs$_{3}$Sb,,,1.6,eV,300,K,,,
TlBr,,,3.1,eV,300,K,,,
NdAs,,,1.04,eV,300,K,,,
BiI$_{3}$,,,1.922,eV,85,K,,,
PtP$_{2}$,,,0.6,eV,300,K,,,
TmAs,,,1.18,eV,300,K,,,
SnSe,,,0.9,eV,300,K,,,
Bi,,,0.015,eV,4.2,K,,,
Nd$_{2}$O$_{3}$,,,0.97,eV,873,K,,,
La$_{2}$Se$_{3}$,,,1.7,eV,300,K,,,
LiI,,,5.62,eV,4.7,K,,,
CsBr,,,6.8,eV,80,K,,,
La$_{3}$Te$_{4}$,,,0.43,eV,300,K,,,
NaN,,,,,,,,,
Cs$_{3}$Sb,,,2.25,eV,300,K,,,
ZnS,,,3.88,eV,300,K,,,
SrTe,,,3.77,eV,70,K,,,
RuSb$_{2}$,,,0.3,eV,300,K,,,
RbCl,,,8.1,eV,80,K,,,
IrS$_{2}$,,,0.9,eV,300,K,,,
PrTe$_{2}$,,,1.288,eV,300,K,,,
SnO$_{2}$,,,3.947,eV,,,,,
ZnTe,,,2.35,eV,300,K,,,
Yb$_{2}$O$_{3}$,,,2.99,eV,573,K,,,
PbS,,,0.41,eV,300,K,,,
UO,,,1.5,eV,300,K,,,
MoS$_{2}$,,,1.89,eV,290,K,,,
YN,,,1.9,eV,300,K,,,
VO$_{2}$,,,0.12,eV,339,K,,,
KI,,,5.61,eV,300,K,,,
BiI$_{3}$,,,2.195,eV,293,K,,,
DyN,,,2.6,eV,300,K,,,
GdTe,,,1.3,eV,300,K,,,
CdSe,,,1.84,eV,4.2,K,,,
Te,,,0.332,eV,300,K,,,
Ga$_{2}$Te$_{3}$,,,1.5,eV,300,K,Black,300,K
TlCl,,,3.5,eV,300,K,,,
MoS$_{2}$,,,1.935,eV,70,K,,,
GaN,,,3.39,eV,300,K,,,
Cd$_{3}$P$_{2}$,,,0.58,eV,4.2,K,,,
CuN$_{3}$,,,4.17,eV,300,K,,,
AlAs,,,2.228,eV,2,K,,,
SmTe,,,0.62,eV,300,K,,,
Si$_{3}$N$_{4}$,,,4.5,eV,300,K,,,
CaS,,,5.38,eV,70,K,Brown,70,K
Cd$_{3}$P$_{2}$,,,0.55,eV,300,K,,,
PbTe,,,0.34,eV,373,K,,,
Pr$_{2}$Se$_{3}$,,,1.8,eV,293,K,,,
ZnP$_{2}$,,,1.85,eV,293,K,,,
Ga$_{2}$Se$_{3}$,,,2.3,eV,,,,,
AgBr,,,2.691,eV,4.2,K,,,
Eu$_{3}$S$_{4}$,,,0.163,eV,300,K,,,
PrO$_{2}$,,,0.88,eV,510,K,,,
RbI,,,6.36,eV,80,K,,,
P,,,1.4,eV,300,K,Red,300,K
GaSe,,,2.12,eV,77,K,,,
Bi$_{2}$O$_{3}$,,,2.91,eV,300,K,,,
SnSe$_{2}$,,,0.98,eV,77,K,,,
InSb,,,0.236,eV,4.2,K,,,
PbO$_{2}$,,,2,eV,300,K,,,
PbO,,,2.73,eV,300,K,Yellow,300,K
SnO$_{2}$,,,4.3,eV,300,K,Black,300,K
MnTe,,,1.25,eV,300,K,,,
CdO,,,1.2,eV,300,K,,,
CsI,,,6.2,eV,300,K,,,
MnSi,,,0.8,eV,,,,,
FeSi,,,0.1,eV,300,K,,,
CrSb,,,0.2,eV,300,K,,,
PbO$_{2}$,,,1.4,eV,300,K,,,
Bi$_{2}$Se$_{3}$,,,0.161,eV,300,K,,,
CsCl,,,7.4,eV,300,K,,,
CdIn,,,0.6,eV,300,K,,,
InAs,,,0.41,eV,,,Dark Gray,,
PbS,,,0.41,eV,300,K,,,
SnTe,,,0.26,eV,300,K,,,
Se,,,1.81,eV,,,,,
ZnSb,,,0.508,eV,4.2,K,,,
Ga$_{2}$Se$_{3}$,,,2.05,eV,300,K,Red,300,K
EuSe,,,1.78,eV,300,K,,,
CdSe,,,1.733,eV,293,K,,,
MoS$_{2}$,,,0.874,eV,250,K,,,
GaTe,,,1.7,eV,300,K,,,
CoO,,,0.73,eV,373,K,,,
PbTe,,,0.29,eV,300,K,,,
As$_{2}$Te$_{3}$,,,1,eV,300,K,,,
Te,,,0.334,eV,4,K,,,
InSe,,,1.19,eV,300,K,,,
BiBr$_{3}$,,,2.66,eV,300,K,,,
Sm$_{2}$S$_{3}$,,,3,eV,300,K,,,
NaCl,,,8.6,eV,55,K,,,
AsI$_{3}$,,,2.54,eV,,,,,
MnSi,,,0.6,eV,600,K,,,
NiAs$_{2}$,,,0.05,eV,,,,,
BiI$_{3}$,,,2.03,eV,,,,,
PtAs$_{2}$,,,0.5,eV,300,K,,,
TiO$_{2}$,,,3.5,eV,300,K,,,
BeO,,,10.39,eV,300,K,,,
PrF$_{3}$,,,5.9,eV,300,K,,,
RbCl,,,8.29,eV,300,K,,,
PdO,,,0.6,eV,300,K,,,
CdI$_{2}$,,,3.8,eV,77,K,,,
Se,,,2.01,eV,300,K,,,
InP,,,1.41,eV,,,,,
PdP$_{2}$,,,0.65,eV,300,K,,,
CuBr,,,3.02,eV,8,K,,,
AgCl,,,3.22,eV,77,K,,,
TlSe,,,0.67,eV,300,K,,,
OsS$_{2}$,,,2,eV,300,K,,,
PbTe,,,0.31,eV,300,K,White,300,K
FeSb$_{2}$,,,0.05,eV,300,K,,,
PtSb$_{2}$,,,0.11,eV,,,,,
MnAl$_{3}$,,,0.58,eV,300,K,,,
C,,,5.503,eV,90,K,,,
NaCl,,,8.4,eV,80,K,,,
TlCl,,,3.46,eV,300,K,,,
Bi$_{2}$Se$_{3}$,,,0.4,eV,77,K,,,
PbO$_{2}$,,,1.45,eV,300,K,,,
Ag$_{2}$S,,,1.23,eV,77,K,,,
InSe,,,1.05,eV,300,K,,,
FeSi$_{2}$,,,0.85,eV,,,,,
KI,,,5.92,eV,300,K,,,
MnTe,,,1.35,eV,80,K,,,
I,,,1.68,eV,80,K,,,
CdI$_{2}$,,,6.25,eV,77,K,,,
Na$_{3}$Sb,,,1.1,eV,300,K,,,
ZnS,,,3.73,eV,300,K,White,300,K
Mg$_{2}$Sn,,,0.22,eV,300,K,Bluish,300,K
ZnO,,,3.31,eV,300,K,,,
As$_{2}$Te$_{3}$,,,0.62,eV,300,K,,,
GeS,,,1.68,eV,300,K,,,
Cs$_{3}$Sb,,,1.6,eV,300,K,,,
Yb$_{2}$O$_{3}$,,,1.53,eV,873,K,,,
TlCl,,,3.468,eV,80,K,,,
CuI,,,3.07,eV,300,K,,,
CdS,,,2.386,eV,250,K,,,
GeAs$_{2}$,,,1.45$\pm$0.35,eV,300,K,,,
Bi$_{2}$S$_{3}$,,,0.72,eV,300,K,,,
HgS,,,2.16,eV,77,K,,,
Ag$_{2}$Te,,,0.028,eV,300,K,,,
Bi,,,0.024,eV,4.2,K,,,
Na$_{2}$Te,,,2.3,eV,355,K,,,
Cu$_{2}$S,,,1.7,eV,300,K,,,
SeS,,,1.9,eV,300,K,,,
Mg$_{2}$Sn,,,0.33,eV,5,K,,,
EuTe,,,2,eV,300,K,,,
Fe$_{2}$O$_{3}$,,,2.2,eV,300,K,,,
SrSe,,,4.42,eV,113,K,White,113,K
CdI$_{2}$,,,3.2,eV,290,K,,,
EuS,,,1.65,eV,300,K,,,
SiP$_{2}$,,,1.89,eV,300,K,,,
AgI,,,2.919,eV,80,K,,,
MnO$_{2}$,,,0.28,eV,300,K,,,
RbI,,,6.1,eV,80,K,,,
MnO,,,2.2,eV,300,K,,,
SnSe$_{2}$,,,0.97,eV,300,K,,,
CdP$_{4}$,,,1.15,eV,300,K,,,
MoS$_{2}$,,,0.25,eV,300,K,,,
La$_{2}$Te$_{3}$,,,0.1,eV,300,K,,,
TlSe,,,0.84,eV,300,K,,,
Bi$_{2}$O$_{3}$,,,2.07,eV,400,K,,,
PbCl$_{2}$,,,3.82,eV,300,K,,,
Sb$_{2}$S$_{3}$,,,1.92,eV,300,K,,,
KF,,,10.9,eV,80,K,,,
KI,,,6.28,eV,300,K,,,
NdB$_{6}$,,,4.9,eV,300,K,,,
InSe,,,1.285,eV,90,K,,,
GaSe,,,1.98,eV,300,K,,,
As,,,0.346,eV,4.2,K,,,
Mg$_{2}$Ge,,,0.548,eV,300,K,,,
Sc$_{2}$O$_{3}$,,,6.2,eV,80,K,,,
GaSe,,,1.97,eV,300,K,,,
CsI,,,6.37,eV,10,K,,,
CeO$_{2}$,,,2,eV,,,,,
SiC,,,4.4,eV,300,K,,,
GeTe,,,0.84$\pm$0.11,eV,300,K,,,
GdAs,,,0.63,eV,300,K,,,
SiC,,,2.39,eV,4.2,K,,,
SnO$_{2}$,,,2.45,eV,300,K,,,
ZnSb,,,0.59,eV,77,K,,,
KI,,,6.2,eV,80,K,,,
Se,,,1.7,eV,300,K,,,
HoN,,,1.9,eV,300,K,,,
AlP,,,2.65,eV,300,K,Yellow,300,K
ErTe,,,0.9,eV,300,K,,,
As$_{2}$Se$_{3}$,,,1.7,eV,300,K,,,
Ge$_{0.838}$Si$_{0.162}$,,,1.319,eV,300,K,,,
Cu$_{2}$S,,,1.93,eV,300,K,,,
LiBr,,,7.95,eV,80,K,,,
Sb$_{2}$S$_{3}$,,,1.71,eV,300,K,,,
LaCl$_{3}$,,,,,,,,,
FeSb$_{2}$,,,0.17,eV,300,K,,,
K$_{3}$Sb,,,1.4,eV,300,K,,,
Cu$_{2}$O,,,2.58,eV,,,,,
NaF,,,10.5,eV,300,K,,,
GaAs,,,1.62,eV,300,K,,,
Cr$_{2}$Se$_{3}$,,,0.15,eV,300,K,,,
SnSe$_{2}$,,,1.62,eV,300,K,,,
ErN,,,3,eV,300,K,,,
CsBr,,,7.18,eV,80,K,,,
CdSe,,,1.821,eV,77,K,,,
GaAs,,,1.37,eV,300,K,,,
In$_{2}$Te$_{3}$,,,1.12,eV,300,K,,,
PdTe$_{2}$,,,1.8,eV,293,K,,,
Bi$_{2}$O$_{3}$,,,2.86,eV,300,K,,,
Se,,,2.3,eV,80,K,,,
BaSe,,,3.58,eV,113,K,,,
PbO,,,2.86,eV,77,K,Yellow,77,K
LiBr,,,7.5,eV,55,K,,,
Ge$_{0.653}$Si$_{0.347}$,,,1.914,eV,300,K,,,
Si,,,1.16,eV,85,K,,,
CdSe,,,1.816,eV,4.2,K,,,
Cu$_{2}$S,,,1.26,eV,80,K,,,
CuBr,,,2.987,eV,80,K,,,
LaB$_{6}$,,,0.08,eV,300,K,,,
WSe$_{2}$,,,1.49,eV,,,,,
Cd$_{3}$P$_{2}$,,,0.52,eV,300,K,,,
In$_{2}$S$_{3}$,,,2.03,eV,300,K,Red,300,K
SmP,,,1.09,eV,300,K,,,
Ge$_{0.774}$Si$_{0.226}$,,,1.503,eV,300,K,,,
ZrS$_{2}$,,,2.75,eV,300,K,,,
KI,,,6.375,eV,78,K,,,
Mg$_{3}$Sb$_{2}$,,,0.8,eV,,,,,
SiSn,,,0.59,eV,300,K,,,
As$_{2}$S$_{3}$,,,2.45,eV,293,K,,,
PbN$_{6}$,,,3.02,eV,300,K,,,
Ca$_{2}$Pb,,,0.46,eV,300,K,,,
BP,,,2,eV,300,K,Red,300,K
B,,,1.16,eV,300,K,,,
Ge,,,0.88,eV,300,K,,,
As$_{2}$S$_{3}$,,,2.43,eV,80,K,,,
AgCl,,,3.25,eV,4.2,K,,,
RuTe$_{2}$,,,0.25,eV,300,K,,,
BiI$_{3}$,,,1.73,eV,293,K,,,
Al$_{2}$O$_{3}$,,,9.9,eV,300,K,,,
Ag$_{2}$O,,,1.591,eV,20,K,,,
Cu$_{2}$S,,,1.21,eV,300,K,,,
AgBr,,,4.29,eV,300,K,,,
Eu$_{3}$P$_{2}$,,,1.2,eV,300,K,,,
Sb$_{2}$S$_{3}$,,,1.7,eV,300,K,,,
Rb$_{3}$Sb,,,1,eV,300,K,,,
MnO$_{2}$,,,0.26,eV,300,K,,,
AgTe,,,0.85,eV,300,K,,,
Pr$_{2}$Te$_{3}$,,,1.5$\pm$0.2,eV,293,K,,,
WS$_{2}$,,,1.1,eV,300,K,,,
As$_{2}$Se$_{3}$,,,1.77,eV,300,K,,,
Ag$_{2}$O,,,1.2,eV,300,K,,,
SnO$_{2}$,,,3.57,eV,300,K,,,
ZnSe,,,2.76,eV,290,K,,,
Sm$_{2}$Se$_{3}$,,,2.3,eV,300,K,,,
As,,,0.172,eV,4.2,K,,,
NaBr,,,7.5,eV,80,K,,,
CdCl$_{2}$,,,5.7,eV,300,K,,,
Sc$_{2}$S$_{3}$,,,2,eV,300,K,,,
InSe,,,1.357,eV,90,K,,,
Nb$_{2}$O$_{5}$,,,3.48,eV,300,K,,,
Sn,,,0.075,eV,300,K,Gray,300,K
IrSe$_{2}$,,,1,eV,300,K,,,
Mg$_{2}$Pb,,,0.1,eV,300,K,,,
Bi$_{2}$Te$_{3}$,,,0.15,eV,,,,,
AlAs,,,2.9,eV,300,K,Orange,300,K
HgI$_{2}$,,,2.29,eV,87,K,Red,87,K
SbI$_{3}$,,,2.12,eV,295,K,,,
SrO,,,5.77,eV,70,K,,,
Tl$_{2}$O$_{3}$,,,2.25,eV,300,K,,,
Mg$_{2}$Sn,,,0.34,eV,,,,,
CdSb,,,0.43,eV,300,K,,,
