formula,Property band_gap,Property band_gap units,Property SMILES
Pr$_{3}$CuSiSe$_{7}$,1.3983999999999996,eV/atom,
CsAgCl$_{3}$,0.0,eV/atom,
TmP,0.0,eV/atom,
Tb(SiNi$_{5}$)$_{2}$,0.0,eV/atom,
SBr,2.2294,eV/atom,
ErFeGe$_{2}$,0.0,eV/atom,
ZnS,2.021,eV/atom,
CeSe,0.0,eV/atom,
Sr$_{3}$AlO$_{4}$F,4.0449,eV/atom,
Zn(InS$_{2}$)$_{2}$,0.19399999999999995,eV/atom,
AgH$_{36}$S$_{8}$Br$_{2}$(N$_{3}$O$_{4}$)$_{3}$,3.1716,eV/atom,
Bi$_{8}$AsAuCl$_{9}$,1.3163,eV/atom,
ZnCrH$_{15}$N$_{5}$Cl$_{4}$F,3.8246,eV/atom,
Nd(Co$_{2}$B)$_{6}$,0.0,eV/atom,
CoH$_{2}$(SN)$_{4}$,0.0,eV/atom,
CsGaSe$_{3}$,1.859,eV/atom,
SrBPO$_{5}$,5.3835999999999995,eV/atom,
LaScSb,0.0,eV/atom,
SrPHO$_{4}$,5.2009,eV/atom,
VPO$_{5}$,2.2702999999999998,eV/atom,
KLa(PSe$_{3}$)$_{2}$,1.9746999999999995,eV/atom,
La$_{20}$C$_{20}$Cl$_{13}$,0.0,eV/atom,
BaTbAgS$_{3}$,1.0051,eV/atom,
S$_{5}$N$_{2}$ClO$_{6}$,1.3105000000000002,eV/atom,
Nd$_{3}$Si$_{2}$ClO$_{8}$,5.2091,eV/atom,
Ca$_{2}$Bi$_{2}$O$_{5}$,2.4956999999999994,eV/atom,
MgH$_{2}$,2.0783,eV/atom,
Yb(SiAg)$_{2}$,0,eV/atom,
Zr$_{2}$NiAs$_{2}$,0.0,eV/atom,
K$_{3}$Na$_{2}$LiTeO$_{6}$,2.2125999999999997,eV/atom,
CaU(PO$_{4}$)$_{2}$,0.25289999999999946,eV/atom,
SbTe,0.03479999999999972,eV/atom,
NbInSe$_{2}$,0.0,eV/atom,
Y$_{6}$C$_{2}$I$_{7}$,0.032399999999999984,eV/atom,
Tb$_{7}$CoI$_{12}$,0.2706999999999997,eV/atom,
